"symbol","source_hit"
"S_convert_adjacency_to_edge_matrix","src/init.c	  {""S_convert_adjacency_to_edge_matrix_set"", (DL_FUNC) &S_convert_adjacency_to_edge_matrix_set, 1},"
"S_convert_adjacency_to_edge_matrix","src/init.c	  {""S_convert_adjacency_to_edge_matrix_unordered_set"", (DL_FUNC) &S_convert_adjacency_to_edge_matrix_unordered_set, 1},"
"S_graph_connected_components","src/graph_conn_components.cpp	 * components <- .Call(""S_graph_connected_components"", graph)"
"S_graph_connected_components","src/graph_conn_components.cpp	SEXP S_graph_connected_components(SEXP R_graph) {"
"S_graph_connected_components","src/init.c	  {""S_graph_connected_components"", (DL_FUNC) &S_graph_connected_components, 1},"
"S_compute_harmonic_extension","src/harmonic_extension_r.cpp	extern ""C"" SEXP S_compute_harmonic_extension("
"S_compute_harmonic_extension","src/init.c	  {""S_compute_harmonic_extension"", (DL_FUNC) &S_compute_harmonic_extension, 10},"
"S_select_max_density_trajectory","src/harmonic_extension_r.cpp	extern ""C"" SEXP S_select_max_density_trajectory("
"S_select_max_density_trajectory","src/init.c	  {""S_select_max_density_trajectory"", (DL_FUNC) &S_select_max_density_trajectory, 2},"
"S_perform_harmonic_smoothing","src/harmonic_smoother_r.cpp	    SEXP S_perform_harmonic_smoothing("
"S_perform_harmonic_smoothing","src/harmonic_smoother_r.cpp	SEXP S_perform_harmonic_smoothing("
"S_perform_harmonic_smoothing","src/harmonic_smoother_r.cpp	        REPORT_ERROR(""S_perform_harmonic_smoothing: length(harmonic_predictions)=%d but graph has %d vertices"","
"S_perform_harmonic_smoothing","src/harmonic_smoother_r.cpp	            REPORT_ERROR(""S_perform_harmonic_smoothing: region vertex index must be >= 1 (got %d)"", v_r);"
"S_perform_harmonic_smoothing","src/harmonic_smoother_r.cpp	            REPORT_ERROR(""S_perform_harmonic_smoothing: region vertex %d out of range [1, %d]"","
"S_perform_harmonic_smoothing","src/init.c	  {""S_perform_harmonic_smoothing"", (DL_FUNC) &S_perform_harmonic_smoothing, 6},"
"S_harmonic_smoother","src/harmonic_smoother_r.cpp	    SEXP S_harmonic_smoother("
"S_harmonic_smoother","src/harmonic_smoother_r.cpp	SEXP S_harmonic_smoother("
"S_harmonic_smoother","src/init.c	  {""S_harmonic_smoother"", (DL_FUNC) &S_harmonic_smoother, 9},"
"S_create_hHN_graph","src/hHN_graphs.cpp	    SEXP S_create_hHN_graph(SEXP s_adj_list, SEXP s_weight_list, SEXP s_h);"
"S_create_hHN_graph","src/hHN_graphs.cpp	 * result <- .Call(""S_create_hHN_graph"", adj_list, weight_list, h)"
"S_create_hHN_graph","src/hHN_graphs.cpp	SEXP S_create_hHN_graph(SEXP s_adj_list,"
"S_create_hHN_graph","src/init.c	  {""S_create_hHN_graph"", (DL_FUNC) &S_create_hHN_graph, 3},"
"S_create_single_iknn_graph","src/iknn_graphs.cpp	    SEXP S_create_single_iknn_graph("
"S_create_single_iknn_graph","src/iknn_graphs.cpp	SEXP S_create_single_iknn_graph(SEXP s_X,"
"S_create_single_iknn_graph","src/init.c	  {""S_create_single_iknn_graph"", (DL_FUNC) &S_create_single_iknn_graph, 13},"
"S_create_iknn_graphs","src/iknn_graphs.cpp	    SEXP S_create_iknn_graphs("
"S_create_iknn_graphs","src/iknn_graphs.cpp	//  Implementation of S_create_iknn_graphs() with edge birth/death time statistics"
"S_create_iknn_graphs","src/iknn_graphs.cpp	SEXP S_create_iknn_graphs("
"S_create_iknn_graphs","src/init.c	  {""S_create_iknn_graphs"", (DL_FUNC) &S_create_iknn_graphs, 17},"
"S_lcor_with_posterior_internal","src/init.c	  {""S_lcor_with_posterior_internal"", (DL_FUNC) &S_lcor_with_posterior_internal, 16},"
"S_lcor_with_posterior_internal","src/lcor_posterior_r.cpp	extern ""C"" SEXP S_lcor_with_posterior_internal("
"S_lcor_instrumented","src/init.c	  {""S_lcor_instrumented"", (DL_FUNC) &S_lcor_instrumented, 9},"
"S_lcor_instrumented","src/lcor_r.cpp	extern ""C"" SEXP S_lcor_instrumented("
"S_lcor_instrumented","src/lcor_r.cpp	 *       use S_lcor_instrumented() instead."
"S_lcor_instrumented","src/lcor_r.cpp	 * @see S_lcor_instrumented() for the version with full diagnostic output"
"S_lcor","src/init.c	  {""S_lcor"", (DL_FUNC) &S_lcor, 9},"
"S_lcor","src/init.c	  {""S_lcor_instrumented"", (DL_FUNC) &S_lcor_instrumented, 9},"
"S_lcor","src/init.c	  {""S_lcor_vector_matrix"", (DL_FUNC) &S_lcor_vector_matrix, 10},"
"S_lcor","src/init.c	  {""S_lcor_with_posterior_internal"", (DL_FUNC) &S_lcor_with_posterior_internal, 16},"
"S_lcor","src/lcor_posterior_r.cpp	extern ""C"" SEXP S_lcor_with_posterior_internal("
"S_lcor","src/lcor_r.cpp	 * // result <- .Call(S_lcor, adj.list, weight.list, "
"S_lcor","src/lcor_r.cpp	extern ""C"" SEXP S_lcor_instrumented("
"S_lcor","src/lcor_r.cpp	 *       use S_lcor_instrumented() instead."
"S_lcor","src/lcor_r.cpp	 * @see S_lcor_instrumented() for the version with full diagnostic output"
"S_lcor","src/lcor_r.cpp	extern ""C"" SEXP S_lcor("
"S_lcor","src/lcor_r.cpp	extern ""C"" SEXP S_lcor_vector_matrix("
"S_lcor_vector_matrix","src/init.c	  {""S_lcor_vector_matrix"", (DL_FUNC) &S_lcor_vector_matrix, 10},"
