"file","symbol","raw"
"R/harmonic_smoother.R","S_perform_harmonic_smoothing","    result <- .Call(""S_perform_harmonic_smoothing"",                     adj.list.0based,                     weight.list,                     as.numeric(values),                     as.integer(region.vertices),"
"R/harmonic_smoother.R","S_harmonic_smoother","    result <- .Call(""S_harmonic_smoother"",                     adj.list.0based,                     weight.list,                     as.numeric(values),                     as.integer(region.vertices),"
"R/hHN_graphs.R","S_create_hHN_graph","    result <- .Call(""S_create_hHN_graph"",                     graph_0based,                     edge.lengths,                     h) "
"R/iknn_graph.R","S_create_single_iknn_graph","    result <- .Call(""S_create_single_iknn_graph"",                     X,                     as.integer(k + 1L),                     as.double(cxx.edge.ratio.threshold),                     as.double(path.edge.ratio.percentile),"
"R/iknn_graphs.R","S_create_iknn_graphs","    result <- .Call(""S_create_iknn_graphs"",                     X,                     as.integer(kmin + 1L),                     as.integer(kmax + 1L),                     as.double(max.path.edge.ratio.deviation.thld + 1.0),"
"R/lcor_with_posterior.R","S_lcor_with_posterior_internal","    cpp.result <- .Call(         S_lcor_with_posterior_internal,         adj.list.0,         weight.list,         as.double(y.hat),"
"R/lcor.R","S_lcor_instrumented","        result <- .Call(""S_lcor_instrumented"",                         adj.list.0,                         weight.list,                         as.numeric(y),                         as.numeric(z),"
"R/lcor.R","S_lcor","        result <- .Call(""S_lcor"",                         adj.list.0,                         weight.list,                         as.numeric(y),                         as.numeric(z),"
"R/lcor.R","S_lcor_vector_matrix","    result <- .Call(         ""S_lcor_vector_matrix"",         adj.list.0,         weight.list,         as.numeric(y),"
"R/lcor.R","S_lcor_instrumented","            res <- .Call(                 ""S_lcor_instrumented"",                 adj.list.0,                 weight.list,                 as.numeric(y[, i]),"
"R/lcor.R","S_lcor","            res <- .Call(                 ""S_lcor"",                 adj.list.0,                 weight.list,                 as.numeric(y[, i]),"
"R/local_extrema.R","S_detect_local_extrema","    result <- .Call(""S_detect_local_extrema"",                     adj.list.0based,                     weight.list,                     y,                     as.double(max.radius),"
"R/local_geodesic_pruning.R","S_prune_graph_local_geodesic","    .Call(         ""S_prune_graph_local_geodesic"",         X,         adj.list,         weight.list,"
"R/local_geodesic_pruning.R","S_prune_graph_global_geodesic_ratio","    out <- .Call(         ""S_prune_graph_global_geodesic_ratio"",         adj.list,         weight.list,         as.numeric(max.ratio.threshold),"
"R/lslope.R","S_lslope_gradient_instrumented","        result <- .Call(             ""S_lslope_gradient_instrumented"",             adj.list.0,             weight.list,             as.numeric(y),"
"R/lslope.R","S_lslope_gradient","        result <- .Call(             ""S_lslope_gradient"",             adj.list.0,             weight.list,             as.numeric(y),"
"R/lslope.R","S_lslope_vector_matrix","    result <- .Call(         ""S_lslope_vector_matrix"",         adj.list.0,         weight.list,         as.numeric(y),"
"R/lslope.R","S_lslope_gradient_instrumented","    first.result <- .Call(         ""S_lslope_gradient_instrumented"",         adj.list.0,         weight.list,         as.numeric(y),"
"R/lslope.R","S_lslope_gradient","        result <- .Call(             ""S_lslope_gradient"",             adj.list.0,             weight.list,             as.numeric(y),"
"R/lslope.R","S_lslope_gradient","        result <- .Call(             ""S_lslope_gradient"",             adj.list.0,             weight.list,             as.numeric(Y[, i]),"
"R/lslope.R","S_lslope_neighborhood","    result <- .Call(         ""S_lslope_neighborhood"",         adj.list.0,         weight.list,         as.numeric(y),"
"R/madag.R","S_construct_madag","    result <- .Call(         S_construct_madag,         adj.list.0based,         weight.list,         as.double(y),"
"R/madag.R","S_enumerate_cell_trajectories","    result <- .Call(         S_enumerate_cell_trajectories,         madag,         as.double(y),         max.vertex,"
"R/madag.R","S_sample_cell_trajectories","    result <- .Call(         S_sample_cell_trajectories,         madag,         as.double(y),         max.vertex,"
"R/madag.R","S_trajectory_similarity_matrix","    result <- .Call(         S_trajectory_similarity_matrix,         trajectories,         as.character(similarity.type),         PACKAGE = ""gflow"""
"R/madag.R","S_identify_bottlenecks","    result <- .Call(         S_identify_bottlenecks,         madag,         max.vertex,         min.fraction,"
"R/major_arms.R","S_detect_major_arms","    res <- .Call(         ""S_detect_major_arms"",         adj.list.0,         weight.list,         as.double(core.quantile),"
