"function_name","file"
".build.summary.retained","R/gfc_flow.R"
".harmonize.gfc.flow.summary","R/gfc_flow.R"
".postprocess.gfc.flow","R/gfc_flow.R"
".sort.summary.df","R/gfc_flow.R"
"basin.feature.carriers","R/gfc_flow.R"
"basin.prev.eval","R/gfc_flow.R"
"basin.trajectories","R/gfc_flow.R"
"basin.trajectories.gfc.flow","R/gfc_flow.R"
"basin.vertices","R/gfc_flow.R"
"cell.trajectories.gfc.flow","R/gfc_flow.R"
"cell.trajectories.max.edge.length","R/gfc_flow.R"
"cell.trajectories.monotonicity","R/gfc_flow.R"
"cell.vertices","R/gfc_flow.R"
"cell.vertices.gfc.flow","R/gfc_flow.R"
"compute.carriers.per.trajectory.mat","R/gfc_flow.R"
"compute.gfc.flow","R/gfc_flow.R"
"compute.gfc.flow.matrix","R/gfc_flow.R"
"compute.gfc.trajectory","R/gfc_flow.R"
"construct.path.through.waypoints","R/gfc_flow.R"
"count.cell.memberships","R/gfc_flow.R"
"count.feature.carriers","R/gfc_flow.R"
"count.multi.memberships.gfc.flow","R/gfc_flow.R"
"extract.da.tables.by.prevalence","R/gfc_flow.R"
"fit.trajectory.smooth.splines","R/gfc_flow.R"
"get.basin","R/gfc_flow.R"
"get.harmonic.repair.vertices","R/gfc_flow.R"
"get.summary","R/gfc_flow.R"
"get.trajectories.by.status","R/gfc_flow.R"
"list.basins","R/gfc_flow.R"
"list.basins.default","R/gfc_flow.R"
"list.basins.gfc.flow","R/gfc_flow.R"
"list.cells","R/gfc_flow.R"
"list.cells.default","R/gfc_flow.R"
"list.cells.gfc.flow","R/gfc_flow.R"
"list.retained","R/gfc_flow.R"
"list.spurious","R/gfc_flow.R"
"merge.gfc.basins","R/gfc_flow.R"
"merge.gfc.flow.basins","R/gfc_flow.R"
"plot.feature.prevalence","R/gfc_flow.R"
"print.gfc_cell_trajectories","R/gfc_flow.R"
"print.gfc.flow","R/gfc_flow.R"
"print.summary.gfc_basin_trajectories","R/gfc_flow.R"
"print.summary.gfc_cell_trajectories","R/gfc_flow.R"
"relabel.basins.gfc.flow","R/gfc_flow.R"
"select.closest.longest.trajectory","R/gfc_flow.R"
"summarize.prev.eval","R/gfc_flow.R"
"summary.gfc_basin_trajectories","R/gfc_flow.R"
"summary.gfc_cell_trajectories","R/gfc_flow.R"
"summary.gfc.flow","R/gfc_flow.R"
"taxon.sig.frequency","R/gfc_flow.R"
"trajectory.distances.to.vertex","R/gfc_flow.R"
"trajectory.edges.gfc.flow","R/gfc_flow.R"
"trajectory.vertices.gfc.flow","R/gfc_flow.R"
"two.stage.basin.fdr","R/gfc_flow.R"
"uncovered.vertices.gfc.flow","R/gfc_flow.R"
"vertex.all.trajectories.gfc.flow","R/gfc_flow.R"
"vertex.cell.all","R/gfc_flow.R"
"vertex.cell.gfc.flow","R/gfc_flow.R"
"vertex.cell.trajectory.gfc.flow","R/gfc_flow.R"
"vertex.cells.gfc.flow","R/gfc_flow.R"
"vertex.distances.to.trajectory","R/gfc_flow.R"
"vertex.primary.cell.gfc.flow","R/gfc_flow.R"
"vertices.feature.carriers","R/gfc_flow.R"
"gfcor","R/gfcor.R"
"print.gfcor","R/gfcor.R"
"print.summary.gfcor","R/gfcor.R"
"summary.gfcor","R/gfcor.R"
"find.gflow.basins","R/gflow_basins.R"
"find.local.extrema","R/gflow_basins.R"
"print.summary.gflow_basins","R/gflow_basins.R"
"process_basin_results","R/gflow_basins.R"
"summary.gflow_basins","R/gflow_basins.R"
"analyze.harmonic.extensions","R/gflow_cx_utils.R"
